player_id;behalten;schliessen;beleg
31;149;136;Ablage-Regel
110;119;177;Ablage-Regel
115;16;107;Ablage-Regel
145;126;177;Ablage-Regel
253;103;177;Ablage-Regel
294;184;107;Ablage-Regel
295;149;136;Ablage-Regel
305;103;177;Ablage-Regel
422;149;136;Ablage-Regel
475;46;88;Ablage-Regel
510;189;107;Ablage-Regel
612;82;20;Altsystem
613;165;107;Ablage-Regel
625;86;107;Ablage-Regel
642;103;177;Ablage-Regel
651;55;177;Ablage-Regel
664;103;177;Ablage-Regel
864;42;107;Ablage-Regel
892;131;88;Ablage-Regel
937;103;177;Ablage-Regel
940;92;129;Ablage-Regel
983;158;61;Altsystem
998;184;107;Ablage-Regel
1036;119;177;Ablage-Regel
1038;83;107;Altsystem
1121;177;129;Altsystem
1159;103;177;Ablage-Regel
1181;118;107;Ablage-Regel
1326;109;107;Ablage-Regel
1354;103;177;Ablage-Regel
1432;149;136;Ablage-Regel
1433;142;107;Ablage-Regel
1436;184;107;Ablage-Regel
1589;167;88;Ablage-Regel
1628;94;107;Ablage-Regel
1639;46;88;Ablage-Regel
1645;126;88;Ablage-Regel
1702;32;107;Ablage-Regel
1751;73;107;Ablage-Regel
1970;131;88;Ablage-Regel
1975;159;168;Altsystem
2024;81;177;Ablage-Regel
2119;73;107;Ablage-Regel
2243;198;177;Ablage-Regel
2259;202;88;Ablage-Regel
2260;165;107;Ablage-Regel
2275;202;107;Ablage-Regel
2332;119;177;Ablage-Regel
2424;198;107;Ablage-Regel
2432;106;107;Ablage-Regel
2543;94;107;Ablage-Regel
2546;149;136;Ablage-Regel
2603;134;125;Altsystem
2621;92;177;Ablage-Regel
2730;104;177;Ablage-Regel
2767;109;61;Altsystem
2772;96;107;Ablage-Regel
2774;68;81;Altsystem
2779;84;107;Ablage-Regel
2871;138;107;Ablage-Regel
2897;47;64;Altsystem
2931;103;177;Ablage-Regel
2978;111;107;Ablage-Regel
3042;108;107;Ablage-Regel
3074;67;190;Altsystem
3218;94;177;Ablage-Regel
3373;168;88;Ablage-Regel
3490;113;107;Ablage-Regel
3491;79;68;Altsystem
3529;186;177;Ablage-Regel
3557;144;177;Ablage-Regel
3695;168;107;Ablage-Regel
3753;92;129;Ablage-Regel
3760;168;107;Ablage-Regel
3804;187;107;Ablage-Regel
3879;96;81;Altsystem
3911;177;129;Altsystem
3974;149;136;Ablage-Regel
3979;184;107;Ablage-Regel
4048;149;107;Ablage-Regel
4168;205;88;Ablage-Regel
4232;185;107;Ablage-Regel
4239;84;107;Ablage-Regel
4260;187;107;Ablage-Regel
4338;149;136;Ablage-Regel
4359;173;177;Ablage-Regel
4490;119;177;Ablage-Regel
4568;158;107;Ablage-Regel
4617;66;187;Altsystem
4781;177;129;Altsystem
4855;186;107;Ablage-Regel
4865;149;136;Ablage-Regel
4875;119;177;Ablage-Regel
4997;96;107;Ablage-Regel
5048;133;107;Ablage-Regel
