player_id;aktion;ablage;oeffnen;beleg
81;schliessen;129;103;Zugehoerigkeit bis zum Parken (2018-01-06)
327;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
967;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
1121;schliessen;177;103;Zugehoerigkeit regulaer beendet (2018-01-06)
1148;schliessen;88;120;Zugehoerigkeit bis zum Parken (2015-08-22)
1209;schliessen;88;167;Zugehoerigkeit bis zum Parken (2015-08-22)
1214;schliessen;88;155;Zugehoerigkeit bis zum Parken (2015-08-22)
1506;schliessen;88;120;Zugehoerigkeit bis zum Parken (2015-08-22)
2278;schliessen;129;103;Zugehoerigkeit bis zum Parken (2018-01-06)
2635;schliessen;129;31;Zugehoerigkeit bis zum Parken (2019-10-29)
2828;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
2864;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
3911;entfernen;177;103;Kopie aus #7432, Zugehoerigkeit regulaer beendet (2018-01-06)
4178;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
4453;schliessen;107;56;Lizenz S13 (2022-06-30)
4524;schliessen;88;168;Lizenz S11 (2020-06-30)
4742;schliessen;88;167;Lizenz S17 (2026-06-30)
4781;schliessen;177;103;Zugehoerigkeit regulaer beendet (2018-01-06)
4784;schliessen;88;31;Lizenz S13 (2022-06-30)
4876;entfernen;107;139;Kopie aus #21177, Lizenz S17 (2026-06-30)
5463;schliessen;88;46;Lizenz S17 (2026-06-30)
5881;schliessen;88;167;Zugehoerigkeit bis zum Parken (2015-08-22)
6300;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
6601;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
6740;schliessen;107;76;Zugehoerigkeit bis zum Parken (2019-02-27)
7037;schliessen;107;94;Lizenz S11 (2020-06-30)
7160;schliessen;107;123;Lizenz S12 (2021-06-30)
7344;schliessen;107;152;Lizenz S11 (2020-06-30)
7547;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
7680;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
7859;schliessen;129;31;Zugehoerigkeit bis zum Parken (2019-10-29)
8469;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
9284;schliessen;129;31;Zugehoerigkeit bis zum Parken (2019-10-29)
9428;schliessen;129;31;Zugehoerigkeit bis zum Parken (2019-10-29)
9622;schliessen;88;168;Lizenz S10 (2019-06-30)
10052;schliessen;129;103;Zugehoerigkeit bis zum Parken (2018-01-06)
10196;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
10403;schliessen;88;126;Lizenz S7 (2016-06-30)
10733;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
11173;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
12666;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
13104;entfernen;177;103;Kopie aus #13461, Zugehoerigkeit regulaer beendet (2018-01-06)
13564;schliessen;107;184;Lizenz S14 (2023-06-30)
14326;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
14664;schliessen;88;167;Lizenz S11 (2020-06-30)
14966;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
15291;schliessen;129;31;Zugehoerigkeit bis zum Parken (2019-10-29)
15374;schliessen;177;113;Lizenz S5 (2014-06-30)
15385;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
15643;schliessen;129;155;Zugehoerigkeit bis zum Parken (2022-12-01)
17904;schliessen;107;203;Zugehoerigkeit regulaer beendet (2025-10-24)
18210;schliessen;129;189;Zugehoerigkeit bis zum Parken (2022-09-12)
24325;schliessen;129;152;Zugehoerigkeit bis zum Parken (2023-12-16)
29869;nur_oeffnen;;67;Lizenz S5 (2014-06-30)
29870;nur_oeffnen;;67;Lizenz S5 (2014-06-30)
29871;nur_oeffnen;;67;Lizenz S5 (2014-06-30)
30156;nur_oeffnen;;31;Lizenz S4 (2013-06-30)
30174;nur_oeffnen;;46;Lizenz S5 (2014-06-30)
30224;nur_oeffnen;;46;Lizenz S5 (2014-06-30)
